,param_hidden_layer_sizes,param_solver,mean_test_r2,mean_test_neg_mean_squared_error
0,"(50, 30, 10, 5)",adam,0.781532459566815,-7097.619023118791
1,"(50, 30, 10, 5)",adam,0.781532459566815,-7097.619023118791
2,"(50, 30, 10, 5)",adam,0.781532459566815,-7097.619023118791
3,"(50, 30, 10, 5)",adam,0.781532459566815,-7097.619023118791
4,"(100, 60, 20, 10)",adam,0.7541615224120266,-7986.908659224947
5,"(100, 60, 20, 10)",adam,0.7541615224120266,-7986.908659224947
6,"(100, 60, 20, 10)",adam,0.7541615224120266,-7986.908659224947
7,"(100, 60, 20, 10)",adam,0.7541615224120266,-7986.908659224947
8,"(70, 40, 10)",adam,0.8649122190622986,-4422.689507248726
9,"(70, 40, 10)",adam,0.8649122190622986,-4422.689507248726
10,"(70, 40, 10)",adam,0.8649122190622986,-4422.689507248726
11,"(70, 40, 10)",adam,0.8649122190622986,-4422.689507248726
